RA,Dec,DM_Excess,Density
185.74504724335557,56.422479012110685,3007.891453957868,861.9831717857052
167.87610367447468,47.08771303681043,348.9721007470809,672.2704796201659
188.2170979002437,74.19446177258942,173.72586071915637,482.5577874546267
191.08054149885305,63.51556105327817,436.04805075081833,832.6986622567964
146.1147805495904,34.10078508118667,963.8209179106377,756.3042895726867
175.0322742005251,83.58258401591732,547.2862873005703,593.3296278465858
179.21388232276814,36.525084318097626,473.50348866371144,888.7212022251435
163.42061948223318,73.74002998476752,81.75512829145538,543.6732856019145
147.71382818179015,52.51211978078351,928.1189319530341,672.2704796201659
190.11105766152633,65.12292468141993,337.6537150741034,725.7465404990428
189.53976311479167,82.15167388907687,263.3954231573628,929.4648676566688
175.9011189106675,63.51823903919146,1081.6160932354524,724.4733009543075
147.98827968842969,33.93022998614295,230.2157858109469,751.211331393746
157.2584687147109,38.275951332434104,417.7846109602928,930.738107201404
202.73921563848097,64.71693537096334,798.9898850799809,953.6564190066368
198.14941523681821,72.94390078615638,2422.4777058906666,640.4394910017869
183.52369950993975,53.69560534205972,595.3205041960107,617.5211791965539
175.87045314182492,60.017617572009605,604.3931188573057,999.4930426171028
178.57617176215808,46.71169720355941,1143.054066185654,814.8733086305042
181.1849666893704,71.54293521559117,1929.5393477635548,791.9549968252712
188.17107025594183,56.15871127132125,1387.3992224303915,870.8958485988513
181.1080515997786,27.578107761329974,61.69236592593626,1014.7719171539247
182.18771409887603,54.8516918517913,659.4209612980635,856.8902136067645
196.9604608800214,69.17852705714972,531.9255354017303,634.073293278111
171.07448536502403,27.994548380662344,804.9941205133526,701.5549891490747
192.30021915794427,27.15523881193777,394.5851211194752,730.8394986779834
150.18224854375842,83.56146263132942,642.0395876063852,653.1718864491385
196.37050610025102,80.9170201348509,258.26403658651606,597.1493464807913
161.26393753292984,61.52600045503513,421.73364883800906,706.6479473280153
200.2300986668612,74.38525970624126,1020.9765463253447,457.09299655992345
172.6250543049811,28.13144410871689,965.9608483018528,606.0620232939375
178.73541769351937,66.71955567865885,1115.038686853974,688.822593701723
184.01867686315188,56.42081470481528,1255.1157628153996,863.2564113304403
157.53190883486027,77.94867723585824,297.6723201979363,702.8282286938098
182.97963165178152,61.54175939224345,408.1044535623837,898.9071185830248
173.30294575192846,26.32188414051418,1036.9207082948349,771.5831641095086
179.4282025682905,70.8405730934222,689.2239053828803,574.2310346755584
188.63245166188392,44.38265576241356,465.08962122767844,921.8254303882578
192.9365272193315,77.24813970382635,767.8939621314473,617.5211791965539
199.5301257037761,40.071994694506884,343.18150414190853,767.7634454753031
183.980876269286,30.32297139170881,1686.7865910456537,856.8902136067645
161.6801810758624,74.21308384356405,261.4625640433734,575.5042742202936
204.12245128685447,38.355599524158414,469.8506641703611,1017.318396243395
196.36494365582678,79.9088668620287,761.5055847203611,550.0394833255903
178.6231061443109,47.09663413135358,1257.5199520607139,749.9380918490109
154.08841538658217,29.22960132849545,1181.8893209689547,738.4789359463944
181.4715204293346,38.90243219933879,773.0637387831928,816.1465481752393
182.20696994968426,71.27709567676762,611.3087300147228,729.5662591332482
145.0399141115267,33.29686190175691,2244.4390958421827,705.3747077832802
172.23262463605357,35.95543581570307,534.5096542834249,926.9183885671985
174.78549941451794,64.72352136689688,1135.1377663167289,635.3465328228463
158.28308829662308,45.674454535866545,943.349463236372,879.8085254119975
179.46254321839248,55.24262457755834,212.25154977451675,1004.5860007960434
168.21808531698395,63.7821565111554,732.0758774046861,569.1380764966177
